epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,286.217,0.5528,0.38381,0.3468,0.00688,0.20035,0.98976,0.96552,0.994,0.88678,0.98976,0.96552,0.994,0.94951,0.53639,0.3211,0.24591,0.01341,0,0.0018218,0.0018218,0.0018218
29,295.592,0.5296,0.3648,0.34453,0.00633,0.18531,1,0.99569,0.995,0.90832,1,0.99569,0.995,0.96303,0.45898,0.29961,0.1883,0.01046,0,0.0018152,0.0018152,0.0018152
30,304.893,0.5389,0.36422,0.34936,0.00634,0.1883,1,0.96225,0.994,0.90865,1,0.96225,0.994,0.95632,0.49939,0.57884,0.22953,0.01222,0,0.0018086,0.0018086,0.0018086
31,314.141,0.56519,0.38433,0.341,0.00664,0.17087,1,0.99619,0.995,0.95016,1,0.99619,0.995,0.98801,0.35858,0.29765,0.1268,0.00862,0,0.001802,0.001802,0.001802
32,323.483,0.54338,0.39012,0.32842,0.0066,0.26778,0.93546,0.99965,0.99065,0.85306,0.93546,0.99965,0.99065,0.93185,0.60144,0.34045,0.25458,0.01552,0,0.0017954,0.0017954,0.0017954
33,332.762,0.57436,0.38263,0.3571,0.00734,0.18157,0.9659,0.97692,0.994,0.8675,0.9659,0.97692,0.994,0.91469,0.59559,0.32783,0.24586,0.01686,0,0.0017888,0.0017888,0.0017888
34,341.989,0.54666,0.34875,0.33099,0.00661,0.18119,0.93457,1,0.99203,0.89841,0.93457,1,0.99203,0.96493,0.51889,0.30106,0.24491,0.01411,0,0.0017822,0.0017822,0.0017822
35,351.241,0.59671,0.35003,0.30984,0.00763,0.18348,1,0.99589,0.995,0.90177,1,0.99589,0.995,0.96763,0.52565,0.29272,0.18468,0.01438,0,0.0017756,0.0017756,0.0017756
36,360.473,0.5418,0.33471,0.32436,0.00677,0.2316,0.96633,0.99005,0.993,0.90624,0.96633,0.99005,0.993,0.93882,0.49042,0.60951,0.1884,0.01262,0,0.001769,0.001769,0.001769
37,369.756,0.52944,0.35131,0.30227,0.00624,0.22854,0.99575,0.93103,0.98859,0.89903,0.99575,0.93103,0.98859,0.94491,0.52404,0.32489,0.26513,0.01338,0,0.0017624,0.0017624,0.0017624
38,379.022,0.55049,0.35917,0.30994,0.00672,0.19901,0.94609,0.96552,0.98962,0.85431,0.94609,0.96552,0.98962,0.96407,0.6611,0.29465,0.29414,0.01844,0,0.0017558,0.0017558,0.0017558
39,388.268,0.57504,0.38135,0.33461,0.00698,0.27307,0.95847,0.96552,0.98895,0.86296,0.95847,0.96552,0.98895,0.95045,0.65303,0.40265,0.69018,0.01631,0,0.0017492,0.0017492,0.0017492
40,397.561,0.54664,0.41534,0.31597,0.00703,0.23258,1,0.99394,0.995,0.92347,1,0.99394,0.995,0.94749,0.42302,0.42208,0.20593,0.01039,0,0.0017426,0.0017426,0.0017426
41,406.872,0.50649,0.37275,0.29755,0.00626,0.1984,0.99296,0.96552,0.99219,0.86381,0.99296,0.96552,0.99219,0.94504,0.63627,0.3054,0.25495,0.01847,0,0.001736,0.001736,0.001736
