epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,441.709,1.18207,1.30807,0.8745,0.00467,0.66138,0.96702,0.88848,0.96661,0.71444,0.96702,0.88848,0.96661,0.66897,1.05542,1.35434,0.49027,0.00541,0,0.0015545,0.0015545,0.0015545
29,456.094,1.21388,1.38465,0.91233,0.00476,0.72593,0.89309,0.88636,0.94712,0.70432,0.89309,0.88636,0.95491,0.65731,1.00877,1.43753,0.70845,0.00517,0,0.001538,0.001538,0.001538
30,470.583,1.15564,1.32366,0.78146,0.00476,0.6746,0.85025,0.88636,0.94082,0.69516,0.85187,0.88636,0.93926,0.66236,1.05746,1.42695,0.69184,0.00524,0,0.0015215,0.0015215,0.0015215
31,484.878,1.17864,1.29246,0.77691,0.00463,0.61129,0.87977,0.94242,0.96594,0.7001,0.88684,0.94999,0.97255,0.69335,1.02682,1.37464,0.56056,0.00514,0,0.001505,0.001505,0.001505
32,499.285,1.17517,1.28891,0.7985,0.00456,0.65312,0.9608,0.92855,0.9627,0.70687,0.95297,0.92098,0.95559,0.68043,1.0633,1.43209,0.6044,0.0057,0,0.0014885,0.0014885,0.0014885
33,513.733,1.13855,1.23098,0.76118,0.00437,0.58724,0.94396,0.89394,0.95668,0.73363,0.94396,0.89394,0.95868,0.70126,0.91713,1.45361,0.5958,0.0048,0,0.001472,0.001472,0.001472
34,528.852,1.0881,1.21357,0.73935,0.00445,0.60248,0.94268,0.92424,0.97185,0.74927,0.93885,0.93057,0.9703,0.70618,0.97113,1.33256,0.47757,0.00506,0,0.0014555,0.0014555,0.0014555
35,544.018,1.06363,1.21899,0.74876,0.00411,0.61772,0.87229,0.87879,0.94655,0.72841,0.87229,0.87879,0.945,0.66235,1.00813,1.34789,0.60766,0.00502,0,0.001439,0.001439,0.001439
36,558.669,1.09544,1.18776,0.67824,0.00445,0.54822,0.95747,0.95455,0.98715,0.7219,0.95279,0.94697,0.98679,0.72218,1.02227,1.3052,0.40585,0.00536,0,0.0014225,0.0014225,0.0014225
37,574.648,1.21495,1.29316,0.8587,0.00488,0.77766,0.86339,0.7661,0.88493,0.67028,0.86339,0.7661,0.88234,0.63888,1.01455,1.54052,1.06197,0.00498,0,0.001406,0.001406,0.001406
38,588.98,1.1128,1.21859,0.73975,0.00446,0.57006,0.93732,0.92424,0.96059,0.71176,0.945,0.93182,0.96712,0.7075,1.01171,1.2944,0.55428,0.00516,0,0.0013895,0.0013895,0.0013895
39,603.62,1.13414,1.17002,0.73825,0.0045,0.56808,0.90865,0.90427,0.9464,0.70827,0.90865,0.90427,0.94633,0.7038,0.98688,1.27858,0.66712,0.00512,0,0.001373,0.001373,0.001373
40,618.825,1.1045,1.23524,0.69396,0.00439,0.5661,0.96463,0.82639,0.95872,0.72716,0.95584,0.81993,0.95147,0.69725,0.87577,1.25456,0.6218,0.00453,0,0.0013565,0.0013565,0.0013565
41,633.422,1.10195,1.19462,0.73665,0.00432,0.54709,0.97254,0.92424,0.98273,0.7071,0.96413,0.91667,0.97817,0.70515,1.0878,1.30238,0.49063,0.00587,0,0.00134,0.00134,0.00134
42,647.621,1.03626,1.2115,0.66503,0.00408,0.51822,0.97001,0.90909,0.98278,0.73767,0.96715,0.89223,0.97451,0.71849,0.96735,1.28556,0.50915,0.00547,0,0.0013235,0.0013235,0.0013235
43,662.312,1.07674,1.17764,0.65851,0.00423,0.53721,0.92478,0.87121,0.9561,0.73423,0.92478,0.87121,0.95344,0.68195,0.87657,1.36188,0.53622,0.00435,0,0.001307,0.001307,0.001307
44,679.989,1.02515,1.18754,0.65963,0.00398,0.52493,0.90769,0.93182,0.97524,0.78435,0.90769,0.93182,0.9691,0.72458,0.82771,1.30958,0.37387,0.00429,0,0.0012905,0.0012905,0.0012905
45,694.808,1.03784,1.11376,0.63915,0.00407,0.53652,0.93906,0.92424,0.97753,0.78637,0.93906,0.92424,0.97316,0.74961,0.7985,1.26759,0.3721,0.00424,0,0.001274,0.001274,0.001274
46,709.627,0.98979,1.11405,0.6273,0.00376,0.46169,0.94569,0.92342,0.97878,0.78155,0.94533,0.91702,0.97567,0.73773,0.91487,1.20024,0.36399,0.00472,0,0.0012575,0.0012575,0.0012575
47,723.918,0.98529,1.12607,0.60104,0.00382,0.52823,0.94258,0.8706,0.97553,0.77046,0.94258,0.8706,0.97553,0.72784,0.90429,1.26149,0.36758,0.00482,0,0.001241,0.001241,0.001241
48,738.432,1.00661,1.16164,0.6322,0.00397,0.57142,0.97268,0.91667,0.98261,0.77921,0.97268,0.91667,0.98261,0.7302,0.81276,1.27725,0.38242,0.00425,0,0.0012245,0.0012245,0.0012245
49,752.979,0.99814,1.05776,0.55162,0.00387,0.5104,0.96167,0.9504,0.98772,0.73602,0.96167,0.9504,0.98772,0.73864,1.02951,1.59933,0.36923,0.00526,0,0.001208,0.001208,0.001208
50,767.566,1.00067,1.13836,0.55825,0.00392,0.463,0.99713,0.94697,0.98709,0.78879,0.99713,0.94697,0.98709,0.74467,0.83371,1.35772,0.31489,0.00448,0,0.0011915,0.0011915,0.0011915
